Month,feminismW,feminismUS,sexual_assaultW,sexual_assaultUS,womens_rightsW,womens_rightsUS,international_womens_dayW,international_womens_dayUS,intersectionalityW,intersectionalityUS
2009-01-01,29,27,23,16,21,26,3,1,6,4
2009-02-01,34,40,26,19,22,36,9,3,9,8
2009-03-01,40,39,30,19,28,42,19,8,10,6
2009-04-01,41,50,32,22,29,45,1,1,11,10
2009-05-01,36,37,46,16,26,41,1,<1,8,7
2009-06-01,25,24,29,18,13,16,<1,0,8,5
2009-07-01,16,17,26,18,8,9,1,<1,6,2
2009-08-01,19,18,24,15,10,7,1,<1,5,3
2009-09-01,28,29,27,18,16,19,<1,<1,9,4
2009-10-01,34,41,29,17,22,26,1,<1,12,13
2009-11-01,38,42,28,18,22,34,1,<1,11,10
2009-12-01,33,42,24,14,16,29,1,<1,10,9
2010-01-01,29,25,23,14,16,23,2,<1,8,6
2010-02-01,31,34,24,15,20,29,5,2,12,12
2010-03-01,37,41,33,22,24,32,19,10,14,11
2010-04-01,39,47,32,23,23,36,1,1,12,10
2010-05-01,36,39,29,18,21,33,<1,1,9,9
2010-06-01,23,20,29,16,12,12,<1,<1,8,7
2010-07-01,18,16,26,14,8,8,1,0,6,3
2010-08-01,19,16,24,14,9,8,<1,<1,6,4
2010-09-01,27,28,27,15,14,18,<1,1,12,10
2010-10-01,32,33,29,19,18,26,1,<1,15,13
2010-11-01,35,36,28,19,20,29,1,1,11,11
2010-12-01,30,35,25,16,15,24,1,1,12,15
2011-01-01,25,26,24,18,15,21,2,1,9,7
2011-02-01,31,37,59,56,18,29,8,2,14,14
2011-03-01,36,38,31,22,22,31,41,23,15,19
2011-04-01,37,44,31,25,19,31,1,1,17,13
2011-05-01,30,36,65,23,19,31,1,1,11,9
2011-06-01,23,23,46,19,11,15,<1,1,8,4
2011-07-01,18,20,71,16,6,9,1,<1,6,4
2011-08-01,19,19,32,18,8,10,1,1,6,5
2011-09-01,26,28,33,19,14,20,1,<1,13,9
2011-10-01,32,38,45,22,18,29,1,1,18,16
2011-11-01,37,40,48,25,21,35,1,1,16,13
2011-12-01,29,35,46,19,17,27,1,<1,14,16
2012-01-01,26,29,42,20,15,21,2,<1,13,9
2012-02-01,33,37,38,20,17,28,6,2,15,16
2012-03-01,36,39,37,19,20,33,44,35,16,15
2012-04-01,35,44,41,22,19,31,1,<1,15,17
2012-05-01,33,37,42,20,18,29,1,<1,15,10
2012-06-01,22,22,40,18,9,13,<1,<1,10,10
2012-07-01,21,22,36,19,6,8,<1,<1,10,7
2012-08-01,21,21,37,21,8,13,1,<1,8,6
2012-09-01,29,30,35,21,14,23,1,<1,16,13
2012-10-01,34,37,32,22,19,32,1,<1,19,19
2012-11-01,34,38,31,20,21,36,1,<1,18,17
2012-12-01,29,36,29,19,13,22,1,<1,18,21
2013-01-01,30,30,33,21,13,21,2,1,17,10
2013-02-01,36,43,30,20,16,25,6,2,20,19
2013-03-01,41,44,33,22,17,25,35,22,21,23
2013-04-01,45,52,40,25,16,26,1,1,24,21
2013-05-01,38,41,42,29,15,26,1,<1,18,14
2013-06-01,30,31,37,25,9,12,<1,<1,15,12
2013-07-01,24,26,38,21,6,8,<1,<1,15,10
2013-08-01,26,28,37,22,6,8,1,1,12,12
2013-09-01,34,39,33,23,11,17,1,<1,19,20
2013-10-01,40,48,38,26,15,24,1,<1,27,24
2013-11-01,44,50,42,28,16,27,1,<1,25,20
2013-12-01,40,50,31,21,13,23,1,<1,25,25
2014-01-01,38,41,30,21,12,22,2,1,23,20
2014-02-01,43,50,33,24,16,28,6,2,30,31
2014-03-01,49,55,37,27,17,28,46,21,28,28
