Quran,ISIS
9.56,2.81
41.03,29.52
21.51,12.81
14.75,7.91
1.12,0.83
1.93,0.69
4.04,1.43
3.1,2.67
4.56,2.3
6.76,4.9
15.88,11.6
0.52,4.24
1.22,1.16
5.96,4.64
3.39,2.43
2.55,2.2
0.4,0.28
0.82,1.09
20.2,12.64
2.48,1.53
3.94,2.85
2.6,2.04
0.75,0.38
1.38,1.38
0.35,0.22
1.18,0.93
0.47,0.49
0.33,0.26
8.1,5.85
2.77,1.5
1.21,1.05
3.31,2.91
0.95,0.81
3.54,3.36
9.95,6.41
2.5,1.72
9.78,7.97
3.15,2.63
0.78,1.41
0.35,0.24
0.26,0.16
4.44,4.28
0.3,0.52
